batch,source,timeline,k,k_wanted,home,M,rho,verdict,gate_loss,expert_loss,central_loss,deltas
1859,gsm8k,TA,2,5,0,128,0.5,HELDOUT,,,,e14:-0.038;e31*:-0.172
1860,ai2_arc,TA,2,6,2,13,0.38,HELDOUT,,,,e0:+0.601;e17*:+0.601
1861,metamath,TB,2,4,3,128,0.46,ADMIT,0.213,-0.014,0.166,e9:-0.096;e11*:-0.131
1862,ai2_arc,TB,3,8,2,7,0.4,ADMIT,0.898,-0.0,1.883,e41:+0.036;e67:+0.393;e72*:+0.000
1863,ultrachat,TB,3,31,2,128,0.37,HELDOUT,,,,e78:-0.031;e80:-0.103;e82*:-0.027
1864,camel_science,TA,2,2,2,3,0.52,REFUSE,,,4.812,e87:+1.167;e0*:+1.313
1865,metamath,TA,4,9,3,93,0.43,HELDOUT,,,,e35:-0.087;e38:-0.089;e56:-0.089;e74*:-0.052
1866,github_code,TB,4,8,1,19,0.6,ADMIT,0.032,,0.373,e4:-0.224;e15:-0.273;e18:+0.118;e19*:-0.319
1867,github_code,TB,2,6,1,61,0.46,ADMIT,0.03,-0.0,1.148,e59:-0.057;e63*:-0.044
1868,camel_science,TA,2,5,2,2,0.6,REFUSE,,,4.375,e17:-1.031;e41*:-2.062
1869,python_instructions,TB,2,8,1,53,0.6,ADMIT,0.09,-0.003,0.605,e65:-0.015;e75*:-0.070
1870,python_instructions,TB,2,9,1,19,0.6,ADMIT,0.091,0.023,1.078,e83:-0.036;e4*:-0.036
1871,ultrachat,TB,2,65,2,128,0.37,ADMIT,0.029,-0.005,1.273,e67:-0.022;e72*:-0.003
1872,github_code,TB,2,10,1,14,0.6,ADMIT,0.126,0.02,0.93,e15:+0.067;e18*:+0.071
1873,github_code,TB,2,4,1,41,0.59,HELDOUT,,,,e19:-0.024;e59*:-0.037
1874,camel_science,TA,2,5,2,2,0.49,HELDOUT,,,,e78:-3.375;e80*:-1.500
1875,metamath,TB,2,10,3,128,0.43,ADMIT,0.129,0.018,0.191,e79:-0.107;e86*:-0.031
1876,python_instructions,TB,2,9,1,106,0.57,ADMIT,0.724,-0.008,0.602,e63:+0.013;e65*:+0.000
1877,github_code,TB,2,4,1,68,0.6,ADMIT,0.237,-0.0,0.324,e75:-0.028;e83*:-0.070
1878,camel_science,TA,2,6,2,2,0.6,HELDOUT,,,,e82:-5.281;e87*:-5.281
1879,ultrachat,TB,2,48,3,128,0.39,HELDOUT,,,,e89:+0.013;e9*:+0.013
1880,python_instructions,TB,2,8,1,78,0.6,ADMIT,0.045,0.006,0.547,e4:-0.027;e18*:-0.027
1881,ai2_arc,TB,2,11,2,9,0.38,HELDOUT,,,,e0:+0.021;e15*:-0.153
1882,github_code,TB,2,6,1,118,0.59,ADMIT,0.872,,0.879,e19:-0.060;e59*:-0.066
1883,github_code,TB,2,8,1,33,0.56,HELDOUT,,,,e63:-0.100;e65*:-0.072
1884,slimorca,TB,2,11,1,128,0.53,ADMIT,0.341,0.005,0.375,e75:-0.081;e79*:-0.065
1885,python_instructions,TB,2,9,1,128,0.58,ADMIT,0.059,,0.805,e83:+0.016;e4*:+0.006
1886,camel_science,TA,2,4,2,2,0.49,REFUSE,,,1.656,e17:-1.000;e41*:+0.062
1887,gsm8k,TB,2,11,0,128,0.54,ADMIT,0.039,-0.004,0.316,e40:-0.027;e44*:-0.028
1888,slimorca,TB,2,11,1,128,0.52,ADMIT,0.171,0.001,0.459,e18:-0.068;e19*:-0.060
1889,python_instructions,TB,2,9,1,121,0.6,ADMIT,0.194,,0.326,e59:+0.003;e63*:+0.003
1890,slimorca,TB,2,11,2,109,0.37,ADMIT,0.018,,1.008,e67:-0.056;e72*:-0.010
1891,python_instructions,TB,2,8,1,45,0.6,HELDOUT,,,,e65:+0.043;e75*:-0.010
1892,python_instructions,TB,2,5,1,51,0.59,ADMIT,0.117,,0.226,e79:-0.007;e83*:-0.004
1893,camel_science,TA,2,5,2,2,0.49,HELDOUT,,,,e78:-1.688;e80*:-1.125
1894,slimorca,TB,2,20,2,9,0.38,HELDOUT,,,,e82:-1.014;e0*:-0.521
