M,T,active_mb,admitted,alloc_width_var,central_loss,clock,clone_frac,delta_mad,delta_mean,delta_neg_frac,delta_std,dropped_texts,expert_loss,expert_updates,gate_loss,graded,health_batch,heldout,imitate_loss,k,k_wanted,migration_chain_acc,pred_gain,reliability_obs,reliability_spread,rho,size_chain_acc,standing_n,timeline_a,trust,update_frac
128.0,553.0,3706.637,1.0,0.0,1.883,324017.0,0.2,,,,,0.0,-0.0,2.0,0.898,1.0,5,1.0,0.54,3.0,31.0,0.515,0.015,27457.0,0.242,0.373,0.995,2391.0,0.292,0.39,
2.0,14.0,3704.101,0.0,0.001,4.375,324152.0,0.2,,,,,0.0,-0.0,3.0,0.03,1.0,10,0.0,0.399,2.0,5.0,0.515,-0.026,27550.0,0.242,0.6,0.995,2397.0,0.293,0.37,
41.0,11.0,3704.009,1.0,0.001,0.93,325904.0,0.2,,,,,0.0,0.02,7.0,0.126,1.0,15,1.0,0.37,2.0,4.0,0.515,0.017,27591.0,0.242,0.594,0.995,2405.0,0.292,0.582,
2.0,23.0,3775.876,0.0,0.001,0.324,326043.0,0.2,,,,,0.0,-0.0,10.0,0.237,1.0,20,1.0,0.726,2.0,6.0,0.515,-0.002,27595.0,0.242,0.6,0.995,2411.0,0.292,0.358,
33.0,34.0,3704.107,1.0,0.001,0.879,327120.0,0.16,0.076,-0.302,0.732,1.15,0.0,0.006,11.0,0.872,1.0,25,1.0,0.693,2.0,8.0,0.512,0.03,27765.0,0.241,0.556,0.995,2415.0,0.291,0.546,
128.0,55.0,3883.727,1.0,0.001,0.459,327350.0,0.133,0.074,-0.275,0.727,1.067,0.0,0.001,14.0,0.171,1.0,30,0.0,0.486,2.0,11.0,0.512,0.022,27765.0,0.241,0.521,0.995,2423.0,0.291,0.556,
2.0,14.0,3632.532,0.0,0.001,0.226,327525.0,0.143,0.069,-0.277,0.724,1.016,0.0,0.001,14.0,0.117,1.0,35,1.0,0.486,2.0,5.0,0.512,-0.027,27812.0,0.24,0.486,0.995,2429.0,0.291,0.358,
45.0,537.0,3886.329,1.0,0.001,0.656,329673.0,0.125,0.074,-0.309,0.733,0.988,0.0,-0.007,16.0,0.113,1.0,40,0.0,0.54,2.0,36.0,0.512,0.001,27821.0,0.24,0.364,0.995,2435.0,0.291,0.371,
9.0,14.0,3740.436,1.0,0.001,1.023,329902.0,0.156,0.069,-0.283,0.74,0.939,0.0,0.001,17.0,0.487,1.0,45,0.0,1.286,2.0,5.0,0.512,-0.001,28047.0,0.24,0.494,0.995,2439.0,0.291,0.359,
128.0,33.0,3704.211,1.0,0.001,0.598,331712.0,0.16,0.069,-0.28,0.736,0.904,0.0,0.034,18.0,0.029,1.0,50,0.0,0.552,2.0,8.0,0.512,0.028,28050.0,0.239,0.576,0.995,2447.0,0.292,0.599,
2.0,21.0,3704.101,0.0,0.001,1.156,333283.0,0.145,0.065,-0.263,0.733,0.885,0.0,0.04,19.0,0.181,1.0,55,0.0,0.23,2.0,5.0,0.512,0.013,28146.0,0.239,0.487,0.995,2453.0,0.291,0.594,
128.0,78.0,3632.554,1.0,0.001,0.447,334849.0,0.133,0.056,-0.244,0.722,0.852,0.0,0.03,20.0,0.281,1.0,60,1.0,0.232,2.0,13.0,0.512,0.017,28470.0,0.238,0.45,0.995,2457.0,0.291,0.421,
