batch,source,timeline,k,k_wanted,home,M,rho,decision,gate_loss,expert_loss,central_loss,imitate_loss,deltas
0,github_code,B,4,1,1,4,1.0,HELDOUT,,,,,e23:-0.062;e8:-0.594;e11:-0.156;e7*:-1.453
1,ai2_arc,B,4,1,2,8,1.0,HELDOUT,,,,,e48:+0.000;e13:+0.000;e1:-0.016;e91*:-0.031
2,slimorca,B,4,1,2,128,1.0,HELDOUT,,,,,e94:-0.019;e54:-0.033;e16:-0.009;e63*:-0.033
3,metamath,B,4,1,3,128,0.77,ADMIT,0.282,-0.013,0.04,,e52:-0.037;e41:-0.037;e80:-0.037;e2*:-0.080
4,ultrachat,B,4,1,2,128,0.77,ADMIT,0.186,0.002,0.918,,e47:-0.086;e87:-0.066;e78:-0.040;e66*:-0.067
5,camel_science,B,3,1,2,3,0.77,REFUSE,,,0.0,,e19:-0.042;e6:-0.688;e24*:-0.042
6,camel_science,B,3,1,2,2,0.77,REFUSE,,,0.0,,e10:-2.656;e59:-0.094;e30*:-2.875
7,metamath,B,3,1,3,128,0.77,ADMIT,0.488,-0.001,0.432,,e22:-0.077;e29:-0.036;e83*:-0.069
8,python_instructions,B,3,1,1,121,0.77,ADMIT,0.24,-0.001,0.691,,e37:-0.008;e93:-0.034;e81*:-0.004
9,python_instructions,B,3,1,1,54,0.77,HELDOUT,,,,,e43:-0.007;e99:-0.028;e86*:-0.047
10,metamath,B,3,1,3,118,0.73,ADMIT,0.189,0.003,0.241,,e28:-0.035;e34:-0.055;e88*:-0.035
11,metamath,B,3,1,3,128,0.73,ADMIT,0.521,,0.258,,e44:-0.002;e14:-0.006;e84*:+0.017
12,ai2_arc,B,3,1,2,5,0.73,ADMIT,0.247,-0.035,0.0,,e70:-0.550;e4:-0.075;e20*:-0.075
13,github_code,B,3,1,1,101,0.73,ADMIT,0.175,-0.014,0.348,,e15:-0.032;e21:-0.011;e31*:-0.023
14,github_code,B,3,1,1,33,0.73,HELDOUT,,,,,e76:-0.089;e57:-0.004;e67*:-0.011
15,metamath,B,4,1,3,102,0.74,ADMIT,0.073,-0.002,0.154,,e73:-0.064;e50:-0.064;e69:-0.086;e25*:-0.081
16,metamath,B,4,1,3,121,0.74,ADMIT,0.052,0.002,0.213,,e98:-0.008;e46:-0.021;e96:-0.019;e0*:-0.008
17,metamath,B,4,1,3,128,0.75,ADMIT,0.103,-0.001,0.012,,e72:-0.056;e35:-0.064;e58:-0.056;e92*:-0.056
18,camel_science,B,4,1,2,2,0.74,REFUSE,,,0.0,,e3:-0.062;e95:-0.188;e56:+0.000;e90*:-0.750
19,metamath,B,4,1,3,82,0.74,ADMIT,0.302,0.002,0.148,,e26:-0.059;e40:-0.076;e55:-0.069;e89*:-0.086
20,gsm8k,B,4,1,3,69,0.75,ADMIT,0.214,0.007,0.289,,e75:-0.082;e71:-0.082;e60:+0.010;e42*:-0.098
21,camel_science,B,4,1,2,5,0.74,HELDOUT,,,,,e9:+0.912;e82:+0.938;e39:+0.938;e18*:+0.938
22,python_instructions,B,4,1,1,60,0.72,ADMIT,0.108,-0.005,0.389,,e77:-0.014;e68:-0.014;e32:-0.017;e79*:-0.008
23,metamath,B,4,1,1,128,0.72,HELDOUT,,,,,e12:-0.032;e85:-0.032;e36:-0.032;e17*:-0.002
24,ultrachat,B,3,1,2,128,0.72,ADMIT,0.08,-0.004,1.188,,e64:+0.023;e27:-0.036;e74*:+0.021
25,ai2_arc,B,4,1,2,3,0.68,REFUSE,,,0.0,,e45:-0.042;e61:-0.042;e38:-0.042;e51*:-0.125
26,github_code,B,4,1,1,128,0.81,ADMIT,0.233,-0.004,0.445,,e62:-0.002;e65:+0.004;e33:-0.002;e5*:+0.003
27,github_code,B,3,1,1,105,0.81,ADMIT,0.082,,0.498,,e53:-0.003;e97:-0.005;e49*:-0.005
28,python_instructions,B,4,1,1,11,0.81,ADMIT,0.167,-0.009,1.75,,e79:-0.108;e56:-0.216;e70:-0.199;e18*:-0.031
29,ultrachat,B,4,1,2,128,0.7,ADMIT,0.354,-0.001,1.547,,e20:-0.036;e32:-0.022;e26:-0.032;e98*:-0.020
30,python_instructions,B,4,1,1,54,0.77,ADMIT,0.665,-0.003,0.271,,e85:-0.008;e97:-0.007;e73:-0.015;e37*:-0.012
31,github_code,B,4,1,1,13,0.81,ADMIT,0.572,-0.008,0.719,,e46:+0.111;e76:+0.077;e71:+0.062;e80*:+0.212
32,ultrachat,B,3,1,2,68,0.71,ADMIT,0.264,-0.016,0.256,,e49:-0.019;e8:-0.019;e29*:-0.013
33,gsm8k,B,4,1,3,102,0.76,ADMIT,0.981,,0.237,,e95:-0.058;e13:-0.064;e17:-0.017;e0*:-0.059
34,gsm8k,B,4,1,0,59,0.76,ADMIT,0.812,0.0,0.453,,e64:-0.005;e33:-0.019;e83:-0.043;e65*:-0.048
35,camel_science,B,4,1,2,1,0.7,REFUSE,,,2.938,,e59:+0.750;e15:+0.438;e60:+0.500;e22*:-2.125
36,python_instructions,B,4,1,1,68,0.76,HELDOUT,,,,,e99:+0.005;e78:+0.000;e77:+0.010;e82*:-0.017
37,gsm8k,B,4,1,3,128,0.68,HELDOUT,,,,,e39:-0.114;e23:-0.018;e5:-0.025;e25*:-0.025
38,github_code,B,4,1,1,19,0.65,ADMIT,0.276,-0.001,0.977,,e55:+0.062;e51:-0.010;e48:-0.125;e12*:+0.089
39,metamath,B,4,1,1,97,0.65,ADMIT,0.492,0.0,0.186,,e58:-0.023;e7:-0.027;e1:-0.054;e94*:-0.075
40,github_code,B,4,1,1,34,0.65,ADMIT,0.372,,0.33,,e43:+0.024;e38:+0.028;e68:+0.022;e40*:+0.011
41,github_code,B,4,1,1,90,0.65,ADMIT,0.303,,0.461,,e36:+0.051;e61:+0.058;e91:+0.063;e88*:+0.045
42,ultrachat,B,3,1,2,128,0.68,ADMIT,0.353,,0.977,,e44:-0.015;e54:-0.023;e9*:-0.003
43,gsm8k,B,4,1,0,102,0.65,HELDOUT,,,,,e92:-0.140;e6:-0.058;e3:-0.175;e52*:-0.047
44,slimorca,B,3,1,2,128,0.7,ADMIT,0.101,0.006,1.062,,e84:-0.048;e72:-0.056;e21*:-0.068
45,metamath,B,4,1,0,90,0.69,HELDOUT,,,,,e47:-0.122;e28:-0.092;e81:-0.092;e34*:-0.099
46,ultrachat,B,3,1,1,128,0.76,HELDOUT,,,,,e2:-0.101;e31:-0.052;e24*:-0.049
47,github_code,B,4,1,1,38,0.59,HELDOUT,,,,,e42:+0.051;e62:+0.008;e14:+0.025;e41*:+0.066
48,metamath,B,4,1,0,128,0.62,ADMIT,0.783,0.001,0.279,,e93:-0.035;e45:-0.035;e63:-0.035;e57*:-0.035
49,gsm8k,B,4,1,0,118,0.62,ADMIT,0.557,,0.237,,e90:-0.030;e74:-0.051;e53:-0.017;e75*:-0.040
50,ultrachat,B,3,1,2,128,0.62,ADMIT,0.316,0.011,1.945,,e27:-0.042;e30:-0.020;e66*:-0.005
51,camel_science,B,4,1,2,3,0.59,REFUSE,,,0.167,,e35:-2.042;e67:-2.042;e50:-2.042;e87*:-0.979
52,metamath,B,4,1,3,128,0.66,ADMIT,0.801,0.006,0.118,,e69:-0.114;e89:-0.153;e10:-0.047;e4*:-0.090
53,ai2_arc,B,4,1,2,5,0.59,ADMIT,0.057,-0.02,0.0,,e19:+0.000;e16:+0.000;e96:-0.062;e86*:-0.537
54,slimorca,B,1,1,2,17,0.63,ADMIT,0.001,-0.218,0.809,,e11:+0.074
55,camel_science,B,4,1,2,3,0.59,REFUSE,,,0.0,,e23:-0.417;e79:-0.417;e50:-0.417;e78*:-0.417
56,github_code,B,4,1,1,44,0.61,HELDOUT,,,,,e11:+0.024;e13:+0.016;e9:+0.062;e57*:+0.078
57,python_instructions,B,4,1,1,58,0.57,ADMIT,0.028,-0.002,0.535,,e3:+0.004;e6:-0.006;e73:+0.008;e88*:-0.015
58,slimorca,B,4,1,2,128,0.63,HELDOUT,,,,,e4:+0.008;e29:-0.002;e91:+0.021;e27*:-0.014
59,gsm8k,B,4,1,3,128,0.68,HELDOUT,,,,,e82:-0.036;e64:-0.092;e90:-0.055;e16*:-0.048
60,ai2_arc,B,4,1,2,4,0.61,HELDOUT,,,,,e20:+0.000;e0:+0.000;e1:-0.031;e2*:-0.031
61,python_instructions,B,4,1,1,17,0.74,ADMIT,0.205,,0.357,,e0:-0.066;e1:-0.059;e2:-0.048;e79*:-0.081
62,github_code,B,4,1,1,24,0.73,ADMIT,1.301,0.001,0.57,,e3:-0.018;e4:-0.049;e5:-0.049;e6*:-0.143
63,github_code,B,4,1,2,26,0.62,ADMIT,0.161,,0.338,,e3:-0.014;e4:+0.163;e5:-0.014;e6*:-0.014
64,ai2_arc,B,4,1,2,11,0.61,ADMIT,0.478,0.001,0.0,,e7:-0.074;e8:-0.074;e9:-0.074;e10*:-0.074
65,github_code,B,4,1,1,16,0.74,HELDOUT,,,,,e7:+0.012;e8:-0.023;e9:-0.004;e10*:-0.004
66,slimorca,B,4,1,1,128,0.7,ADMIT,0.863,,1.438,,e11:-0.050;e12:-0.030;e13:-0.030;e14*:-0.064
67,camel_science,B,4,1,2,2,0.61,REFUSE,,,3.312,,e11:-1.719;e12:-1.719;e13:-1.719;e14*:-2.281
68,metamath,B,4,1,3,128,0.71,ADMIT,0.983,-0.007,0.229,,e0:-0.029;e1:-0.064;e2:-0.138;e3*:-0.063
69,github_code,B,4,1,2,104,0.68,HELDOUT,,,,,e15:-0.035;e16:-0.061;e17:-0.061;e18*:-0.057
70,metamath,B,4,1,3,81,0.65,ADMIT,0.329,-0.014,0.283,,e4:+0.052;e5:-0.013;e6:-0.030;e7*:-0.006
71,ai2_arc,B,4,1,2,5,0.43,ADMIT,0.644,0.006,0.0,,e19:-0.588;e21:-0.512;e22:-0.775;e23*:-0.713
72,metamath,B,4,1,3,128,0.53,ADMIT,0.383,0.012,0.262,,e8:-0.112;e9:-0.112;e10:-0.112;e11*:-0.112
73,ai2_arc,B,4,1,2,3,0.52,REFUSE,,,0.083,,e24:-0.375;e25:-0.375;e26:-1.042;e27*:-0.792
74,gsm8k,B,4,1,3,79,0.63,ADMIT,1.517,-0.018,0.609,,e12:-0.089;e13:-0.076;e14:-0.045;e15*:-0.074
75,metamath,B,4,1,3,128,0.6,ADMIT,0.78,-0.003,0.22,,e16:-0.135;e17:-0.156;e18:-0.109;e19*:-0.112
76,camel_science,B,4,1,2,3,0.42,REFUSE,,,2.125,,e28:-2.292;e29:-3.812;e30:-2.542;e31*:-3.812
77,gsm8k,B,4,1,0,86,0.48,ADMIT,0.057,0.0,0.266,,e0:+0.011;e1:-0.032;e2:-0.042;e3*:-0.050
78,python_instructions,B,4,1,1,66,0.47,ADMIT,1.739,-0.002,0.187,,e15:-0.078;e16:-0.009;e17:-0.004;e18*:-0.009
