batch,M,T,active_mb,admitted,alloc_width_var,central_loss,clock,clone_frac,delta_mad,delta_mean,delta_neg_frac,delta_std,dropped_texts,expert_loss,expert_updates,gate_loss,graded,heldout,imitate_loss,k,k_thermal,k_wanted,migration_chain_acc,pred_gain,reliability_obs,reliability_spread,rho,size_chain_acc,standing_n,thermal,thermal_base,thermal_peak,thermal_vol,timeline_a,trust,update_frac
5,128.0,487.0,3742.594,1.0,,0.918,700.0,0.6,,,,,0.0,0.002,2.0,0.186,1.0,0.0,,4.0,2.758,1.0,-1.0,,140.0,,0.767,1.0,8.0,1.0,0.7,1.0,0.222,0.0,0.767,
10,54.0,39.0,3708.343,1.0,,0.691,835.0,0.4,,,,,0.0,-0.001,4.0,0.24,1.0,1.0,,3.0,3.284,1.0,-1.0,,194.0,,0.767,1.0,14.0,1.0,0.85,1.0,0.105,0.0,0.767,
15,33.0,14.0,3704.703,1.0,,0.348,998.0,0.4,0.043,-0.211,0.94,0.574,0.0,-0.014,7.0,0.175,1.0,1.0,,3.0,3.499,1.0,-1.0,,227.0,,0.734,1.0,26.0,1.0,0.9,1.0,0.069,0.0,0.734,
20,82.0,35.0,3740.776,1.0,,0.148,1229.0,0.45,0.044,-0.177,0.943,0.495,0.0,0.002,11.0,0.302,1.0,0.0,,4.0,3.615,1.0,-1.0,,227.0,,0.745,1.0,42.0,1.0,0.925,1.0,0.051,0.0,0.745,
25,128.0,780.0,3816.052,1.0,,1.188,2085.0,0.44,0.043,-0.102,0.876,0.496,0.0,-0.004,14.0,0.08,1.0,0.0,0.715,3.0,3.687,1.0,-1.0,,360.0,0.126,0.72,1.0,53.0,1.0,0.94,1.0,0.041,0.0,0.72,
30,128.0,516.0,3742.539,1.0,,1.547,2707.0,0.433,0.043,-0.093,0.88,0.452,0.0,-0.001,17.0,0.354,1.0,0.0,0.411,4.0,3.737,1.0,-1.0,,360.0,0.126,0.705,1.0,68.0,1.0,0.95,1.0,0.034,0.0,0.705,
35,59.0,32.0,3740.945,1.0,,0.453,3783.0,0.371,0.041,-0.078,0.866,0.419,0.0,0.0,21.0,0.812,1.0,0.0,0.411,4.0,3.773,1.0,-1.0,,360.0,0.126,0.762,1.0,87.0,1.0,0.957,1.0,0.029,0.0,0.762,
40,97.0,42.0,3740.665,1.0,,0.186,3970.0,0.35,0.041,-0.073,0.83,0.435,0.0,0.0,23.0,0.492,1.0,0.0,0.411,4.0,3.8,1.0,-1.0,,556.0,0.036,0.651,1.0,95.0,1.0,0.962,1.0,0.025,0.0,0.651,
45,128.0,554.0,3742.995,1.0,,1.062,5166.0,0.311,0.042,-0.067,0.8,0.412,0.0,0.006,24.0,0.101,1.0,0.0,0.619,3.0,3.821,1.0,-1.0,,658.0,0.032,0.697,1.0,109.0,1.0,0.967,1.0,0.022,0.0,0.697,
50,118.0,78.0,3633.148,1.0,,0.237,6066.0,0.32,0.042,-0.064,0.799,0.39,0.0,0.001,25.0,0.557,1.0,0.0,0.619,4.0,3.839,1.0,-1.0,,914.0,0.126,0.62,1.0,117.0,1.0,0.97,1.0,0.02,0.0,0.62,
55,17.0,118.0,3812.867,1.0,,0.809,7060.0,0.315,0.045,-0.1,0.8,0.451,0.0,-0.218,29.0,0.001,1.0,0.0,0.619,1.0,3.853,1.0,-1.0,,914.0,0.126,0.629,1.0,129.0,1.0,0.973,1.0,0.018,0.0,0.629,
60,128.0,61.0,3633.101,1.0,,0.535,7386.0,0.305,0.045,-0.094,0.77,0.442,0.0,-0.002,30.0,0.028,1.0,1.0,0.645,4.0,3.865,1.0,-1.0,,1214.0,0.144,0.676,1.0,133.0,1.0,0.975,1.0,0.017,0.0,0.676,
65,11.0,65.0,3740.743,1.0,,0.0,7559.0,0.328,0.046,-0.063,0.755,0.348,0.0,0.001,32.0,0.478,1.0,0.0,0.192,4.0,3.875,1.0,0.0,,1218.0,0.135,0.613,1.0,149.0,1.0,0.977,1.0,0.016,0.0,0.613,
70,104.0,10.0,3632.913,1.0,,0.229,7728.0,0.348,0.046,-0.097,0.755,0.43,0.0,-0.007,33.0,0.983,1.0,1.0,0.192,4.0,3.884,1.0,0.0,,1338.0,0.308,0.675,1.0,157.0,1.0,0.979,1.0,0.014,0.0,0.675,
75,79.0,83.0,3740.825,1.0,,0.609,8094.0,0.351,0.047,-0.137,0.78,0.417,0.0,-0.018,37.0,1.517,1.0,0.0,0.187,4.0,3.891,1.0,0.0,,1338.0,0.308,0.635,1.0,173.0,1.0,0.98,1.0,0.013,0.0,0.635,
80,63.0,10.0,3632.913,1.0,,0.229,8195.0,0.367,0.052,-0.202,0.795,0.596,0.0,-0.002,40.0,0.396,1.0,0.0,0.6,4.0,3.898,1.0,0.0,,1338.0,0.308,0.46,1.0,189.0,1.0,0.981,1.0,0.013,0.0,0.46,0.784
85,99.0,41.0,3633.007,1.0,,0.281,10166.0,0.369,0.061,-0.207,0.815,0.595,0.0,0.006,43.0,2.127,1.0,1.0,0.6,4.0,3.904,1.0,0.235,,1565.0,0.163,0.627,1.0,199.0,1.0,0.982,1.0,0.012,0.0,0.627,0.796
90,3.0,51.0,3633.07,0.0,,0.832,10568.0,0.348,0.064,-0.234,0.82,0.602,0.0,-0.013,45.0,0.49,1.0,1.0,0.551,4.0,3.909,1.0,0.235,,1616.0,0.163,0.608,1.0,211.0,1.0,0.983,1.0,0.011,0.0,0.608,0.789
95,37.0,35.0,3740.747,1.0,,0.863,11944.0,0.33,0.059,-0.238,0.87,0.601,0.0,0.006,48.0,0.693,1.0,0.0,0.551,4.0,3.914,1.0,0.235,,1616.0,0.163,0.677,1.0,230.0,1.0,0.984,1.0,0.011,0.0,0.677,0.774
100,128.0,43.0,3633.038,1.0,,0.0,12171.0,0.354,0.056,-0.243,0.885,0.6,0.0,0.006,48.0,0.36,1.0,1.0,0.551,4.0,3.918,1.0,0.235,,1831.0,0.152,0.748,1.0,242.0,1.0,0.985,1.0,0.01,0.0,0.748,0.738
105,85.0,21.0,3740.653,1.0,,0.652,12376.0,0.33,0.058,-0.21,0.88,0.555,0.0,0.002,49.0,2.403,1.0,0.0,0.492,4.0,3.922,1.0,0.463,,1963.0,0.413,0.744,1.0,254.0,1.0,0.986,1.0,0.01,0.0,0.744,0.721
